"Message ID","Date","Event","Instrument","Action","Transect","Station","Cast","Latitude","Longitude","Seafloor","Author","Comment","Cruise","R2R_Event","dateTimeUTC","GPS_Time","dateTime8601","Revisions"
"25","Tue, 13 Nov 2018 10:14:56 +0000","20181113.1014.001","RMT8 Midwater Trawl","maxTension","NotNaN","L11","7"," 39.742855"," -70.848828","1800","jLlopiz1","not max tension but net's max depth (1400 m of wire ~1000 m depth) ","ar32","ar32-SE-20181113.1014.001","20181113.1014","2018/11/13 10:14:57","2018-11-13T10:14:57+0000"," & Tue Nov 13 13:15:34 2018","","plain"
"26","Tue, 13 Nov 2018 13:21:15 +0000","20181113.1321.001","RMT8 Midwater Trawl","recover","NaN","L11","7"," 39.712806"," -70.832004","","hMcmonagle","","ar32","ar32-SE-20181113.1321.001","20181113.1126","2018/11/13 11:26:57","2018-11-13T11:26:57+0000"," & Tue Nov 13 13:22:21 2018","","plain"
"27","Tue, 13 Nov 2018 14:08:19 +0000","20181113.1408.001","CTD911","deploy","NaN","L9.5","008"," 40.020609"," -70.882376","","jSanSoucie","Fired one bottle for processing","ar32","ar32-SE-20181113.1408.001","20181113.1359","2018/11/13 13:59:57","2018-11-13T13:59:57+0000"," & Tue Nov 13 14:09:08 2018 & Tue Nov 13 16:27:36 2018","","plain"
"28","Tue, 13 Nov 2018 14:19:31 +0000","20181113.1419.001","CTD911","recover","NaN","L9.5","008"," 40.021418"," -70.880365","","jForsyth","","ar32","ar32-SE-20181113.1419.001","20181113.1419","2018/11/13 14:19:27","2018-11-13T14:19:27+0000"," & Tue Nov 13 14:33:53 2018 & Tue Nov 13 16:28:04 2018","","plain"
"29","Tue, 13 Nov 2018 14:59:45 +0000","20181113.1459.001","CTD911","deploy","NaN","L09","09"," 40.102051"," -70.888433","","jForsyth","","ar32","ar32-SE-20181113.1459.001","20181113.1459","2018/11/13 14:59:45","2018-11-13T14:59:45+0000","","","plain"
"30","Tue, 13 Nov 2018 15:16:42 +0000","20181113.1516.001","CTD911","recover","NaN","L9","09"," 40.102349"," -70.887382","","jForsyth","","ar32","ar32-SE-20181113.1516.001","20181113.1516","2018/11/13 15:16:42","2018-11-13T15:16:42+0000","","","plain"
"31","Tue, 13 Nov 2018 16:11:15 +0000","20181113.1611.001","CTD911","deploy","NaN","L07.5","010"," 40.163909"," -70.887861","","hLiu","","ar32","ar32-SE-20181113.1611.001","20181113.1611","2018/11/13 16:11:15","2018-11-13T16:11:15+0000","","","plain"
"32","Tue, 13 Nov 2018 16:29:21 +0000","20181113.1629.001","CTD911","recover","NaN","L07.5","010"," 40.164104"," -70.887356","","jSuca1","","ar32","ar32-SE-20181113.1629.001","20181113.1629","2018/11/13 16:29:21","2018-11-13T16:29:21+0000","","","plain"
"33","Tue, 13 Nov 2018 19:56:09 +0000","20181113.1956.001","CTD911","deploy","NaN","L04","011"," 40.696868"," -70.880283","","hLiu","","ar32","ar32-SE-20181113.1956.001","20181113.1941","2018/11/13 19:40:57","2018-11-13T19:41:00+0000","","","plain"
"34","Tue, 13 Nov 2018 19:56:50 +0000","20181113.1956.002","CTD911","recover","NaN","L04","011"," 40.695503"," -70.878033","","hLiu","","ar32","ar32-SE-20181113.1956.002","20181113.1952","2018/11/13 19:51:57","2018-11-13T19:52:00+0000","","","plain"
"35","Tue, 13 Nov 2018 20:18:28 +0000","20181113.2018.001","Ship","startCruise","NaN","NaN","NaN"," 41.524006"," -70.672286","","cSeaton","","ar32","ar32-SE-20181113.2018.001","20181112.1230","2018/11/12 12:29:57","2018-11-12T12:30:00+0000","","","plain"
"36","Tue, 13 Nov 2018 22:39:45 +0000","20181113.2239.001","CTD911","deploy","2NaN","L02","012"," 41.028762"," -70.886067","","hLiu","","ar32","ar32-SE-20181113.2239.001","20181113.2234","2018/11/13 22:33:57","2018-11-13T22:34:00+0000","","","plain"
"37","Tue, 13 Nov 2018 22:40:21 +0000","20181113.2240.001","CTD911","recover","NaN","L02","012"," 41.028143"," -70.886067","","hLiu","","ar32","ar32-SE-20181113.2240.001","20181113.2240","2018/11/13 22:40:21","2018-11-13T22:40:21+0000","","","plain"
"38","Wed, 14 Nov 2018 11:30:36 +0000","20181114.1130.001","EK80","stop","NaN","NaN","NaN"," 41.475997"," -70.729371","20","aSimoneau1","secured ek80 for cruise","ar32","ar32-SE-20181114.1130.001","20181114.1130","2018/11/14 11:30:42","2018-11-14T11:30:42+0000"," & Wed Nov 14 11:32:23 2018","","plain"
"39","Wed, 14 Nov 2018 11:31:58 +0000","20181114.1131.001","ADCP150","stop","NaN","NaN","NaN"," 41.475993"," -70.729372","20","aSimoneau1","secured 150kHz for end of cruise","ar32","ar32-SE-20181114.1131.001","20181114.1131","2018/11/14 11:31:58","2018-11-14T11:31:58+0000","","","plain"
"40","Wed, 14 Nov 2018 13:11:45 +0000","20181114.1311.001","Ship","endCruise","NaN","NaN","NaN"," 41.524009"," -70.672283","","jLlopiz1","","ar32","ar32-SE-20181114.1311.001","20181114.1311","2018/11/14 13:11:45","2018-11-14T13:11:45+0000","","","plain"
"41","Wed, 14 Nov 2018 13:18:24 +0000","20181114.1318.001","IFCB continuous","stop","NaN","NaN","NaN"," 41.476097"," -70.729392","","hMcmonagle","iFCB stopped and started once previously due to damaged flow through pipes.","ar32","ar32-SE-20181114.1318.001","20181114.1157","2018/11/14 11:56:57","2018-11-14T11:57:00+0000","","","plain"
