"Message ID","Date","Event","Instrument","Action","Transect","Station","Cast","Latitude","Longitude","Seafloor","Author","Comment","Cruise","R2R_Event","dateTimeUTC","GPS_Time","dateTime8601","Revisions"
73,Thu  04 May 2023 00:23:59 +0000,"20230504.0023.001","Bongo Net","deploy","NaN","L11","B08"," 39.766827"," -70.889727",,"aCabanelas1",,"hrs2303HS","20230504.0023.001","20230504.0023","2023/05/04 00:23:58","2023-05-04T00:23:59+00:00",
74,Thu  04 May 2023 00:51:27 +0000,"20230504.0050.001","Bongo Net","recover","NaN","L11","B08"," 39.778980"," -70.877540",,"aCabanelas1",,"hrs2303HS","20230504.0050.001","20230504.0047","2023/05/04 00:46:51","2023-05-04T00:47:00+00:00",
75,Thu  04 May 2023 01:33:20 +0000,"20230504.0133.001","Underway Science seawater diaphragm pump","TOI discrete","NaN","NaN","NaN"," 39.762827"," -70.895517",,"aCieza1",,"hrs2303HS","hrs2303HS-SE-20230504.0133.001","20230504.0003","2023/05/04 00:02:51","2023-05-04T00:03:00+00:00",
76,Thu  04 May 2023 01:33:54 +0000,"20230504.0133.002","Underway Science seawater diaphragm pump","TOI discrete","NaN","NaN","NaN"," 39.762588"," -70.896265",,"aCieza1",,"hrs2303HS","20230504.0133.001","20230504.0007","2023/05/04 00:06:51","2023-05-04T00:07:00+00:00",
77,Thu  04 May 2023 02:59:39 +0000,"20230504.0256.001","Sting Ray","deploy towed","NaN","L11","tow01"," 39.760292"," -70.899705",,"bGrassian1",,"hrs2303HS","20230504.0256.001","20230504.0220","2023/05/04 02:19:52","2023-05-04T02:20:00+00:00"," & Fri May  5 14:26:06 2023"
78,Thu  04 May 2023 05:24:17 +0000,"20230504.0524.001","Underway Science seawater diaphragm pump","TOI discrete","NaN","NaN","NaN"," 39.933350"," -70.881178",,"aCieza1",,"hrs2303HS","20230504.0524.001","20230504.0524","2023/05/04 05:24:16","2023-05-04T05:24:17+00:00",
79,Thu  04 May 2023 06:10:23 +0000,"20230504.0610.001","Underway Science seawater diaphragm pump","TOI discrete","NaN","NaN","NaN"," 39.993537"," -70.883605",,"aCieza1",,"hrs2303HS","20230504.0610.001","20230504.0610","2023/05/04 06:10:22","2023-05-04T06:10:23+00:00",
80,Thu  04 May 2023 06:47:16 +0000,"20230504.0646.001","Underway Science seawater diaphragm pump","TOI discrete","NaN","NaN","NaN"," 40.041205"," -70.884590",,"aCieza1",,"hrs2303HS","20230504.0646.001","20230504.0647","2023/05/04 06:47:15","2023-05-04T06:47:16+00:00",
81,Thu  04 May 2023 07:32:30 +0000,"20230504.0732.001","Underway Science seawater diaphragm pump","TOI discrete","NaN","NaN","NaN"," 40.099457"," -70.884775",,"aCieza1",,"hrs2303HS","20230504.0732.001","20230504.0732","2023/05/04 07:32:29","2023-05-04T07:32:30+00:00",
82,Thu  04 May 2023 08:07:56 +0000,"20230504.0807.001","Underway Science seawater diaphragm pump","TOI discrete","NaN","NaN","NaN"," 40.144802"," -70.882887",,"aCieza1",,"hrs2303HS","20230504.0807.001","20230504.0807","2023/05/04 08:07:55","2023-05-04T08:07:56+00:00",
83,Thu  04 May 2023 08:49:27 +0000,"20230504.0848.001","Underway Science seawater diaphragm pump","TOI discrete","NaN","NaN","NaN"," 40.198628"," -70.882327",,"aCieza1",,"hrs2303HS","20230504.0848.001","20230504.0849","2023/05/04 08:49:26","2023-05-04T08:49:27+00:00",
84,Thu  04 May 2023 08:55:06 +0000,"20230504.0853.001","CTD911","deploy","NaN","L7","04"," 40.255590"," -70.885258",,"tCrockford1","target depth 120m","hrs2303HS","20230504.0853.001","20230503.0835","2023/05/03 08:34:51","2023-05-03T08:35:00+00:00"," & Thu May  4 09:03:18 2023"
85,Thu  04 May 2023 09:01:05 +0000,"20230504.0900.001","Underway Science seawater diaphragm pump","IFCB discrete","NaN","NaN","UW1"," 40.213640"," -70.882248",,"tCrockford1","run on both IFCB102 and IFCB115","hrs2303HS","20230504.0900.001","20230504.0901","2023/05/04 09:01:06","2023-05-04T09:01:05+00:00"," & Fri May  5 14:39:39 2023"
86,Thu  04 May 2023 09:02:54 +0000,"20230504.0901.001","CTD911","deploy","NaN","L8","05"," 40.153082"," -70.882655",,"tCrockford1","target depth 133m","hrs2303HS","20230504.0901.001","20230503.1050","2023/05/03 10:49:52","2023-05-03T10:50:00+00:00",
87,Thu  04 May 2023 09:06:14 +0000,"20230504.0904.001","CTD911","deploy","NaN","L9","06"," 40.046612"," -70.880700",,"tCrockford1","target depth 202m","hrs2303HS","20230504.0904.001","20230503.1315","2023/05/03 13:14:52","2023-05-03T13:15:00+00:00",
88,Thu  04 May 2023 09:17:19 +0000,"20230504.0916.001","Isaacs-Kidd Midwater Trawl","startSample","NaN","L10","03"," 39.957657"," -70.879893",,"tCrockford1",,"hrs2303HS","20230504.0916.001","20230503.1555","2023/05/03 15:54:51","2023-05-03T15:55:00+00:00"," & Fri May  5 15:36:34 2023"
89,Thu  04 May 2023 09:21:28 +0000,"20230504.0918.001","Underwater PAR","deploy","NaN","L9","PAR04"," 40.046218"," -70.884355",,"tCrockford1","CTD06","hrs2303HS","20230504.0918.001","20230503.1255","2023/05/03 12:54:52","2023-05-03T12:55:00+00:00"," & Thu May  4 09:33:16 2023"
